"College_code","Dept","1G","1K","1R","2AG","2AK","2AR","2BG","2BK","2BR","3AG","3AK","3AR","3BG","3BK","3BR","GM","GMK","GMR","SCG","SCK","SCR","STG","STK","STR"
"E232","CS","24275","--","31241","21272","35946","25680","21239","--","33008","18224","--","24617","18040","27512","25546","14101","24688","22287","41524","52223","73924","29619","--","--"
"E232","EC","45086","--","108631","38388","56003","58339","58525","--","--","29253","--","40701","33480","49595","41854","28988","47268","34198","61645","142525","113246","40910","--","--"
"E232","EE","163432","--","--","142045","--","144581","94017","--","--","71728","--","--","76189","--","--","61751","64736","99440","135810","--","180406","136503","--","--"
"E232","ER Electrical and
Computer","116776","--","--","113781","--","--","80532","--","--","88289","--","--","88298","--","--","73603","169290","125221","173135","--","--","160146","--","--"
"E232","ES Electronics and
Computer","64087","--","--","91010","--","--","62900","--","--","60852","--","--","60394","--","--","44737","77076","174566","174657","--","--","132508","--","--"
"E232","IS","--","--","--","28947","--","--","23615","--","--","--","--","--","21429","--","--","17628","--","28747","41298","--","--","33381","--","42888"
"E232","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","179046","--","--","--","--","--","--","--","--"
"E232","MT","134981","--","--","117327","--","--","104705","--","--","55894","--","--","106553","--","--","49892","--","91331","135746","--","--","--","--","--"
"E232","RA Robotics and
Automation","79823","--","--","103420","--","--","99082","--","--","76566","--","--","107143","--","--","59491","--","109167","166273","--","--","126007","--","--"
"E232","SS CS and System
Engg","--","--","--","37119","--","74508","30037","--","--","26893","--","--","30434","--","--","26794","139307","48455","74032","--","125249","78533","--","--"
"E235","AI Artificial
Intelligence","29089","--","--","21469","--","122166","18471","--","--","21531","--","--","18623","--","--","16188","42878","30267","34326","--","182011","--","--","--"
"E235","AT Automotive
Engg.","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","176840","--","--","--","--","--","--","--","--"
"E235","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","173178","--","--","--","--","--","--","--","--"
"E235","CS","25600","--","29697","20791","--","29887","25122","--","--","16080","--","--","16714","--","25019","14367","21992","23602","49872","122919","67743","43383","--","--"
"E235","EC","41204","--","--","40405","--","110627","61557","--","--","40047","--","--","36654","--","58688","32455","48236","46423","132112","--","160026","49647","--","--"
"E235","EE","94960","--","--","145501","--","--","--","--","--","--","--","143504","94354","--","--","69943","--","82933","147301","--","--","147099","--","--"
"E235","IS","28081","--","--","28938","52903","38532","28379","--","--","19076","--","--","20678","--","32396","18972","--","28057","59040","179729","89021","--","--","--"
"E235","MC Mathamatics and
Computing","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","179459","--","--","--","--","--","--","--","--"
"E235","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","177226","--","--","--","--","--","--","--","--"
"E235","RB","--","--","--","84046","--","--","55452","--","--","93173","--","--","--","--","--","54799","--","132339","145711","--","--","130238","--","--"
"E235","SE Aero Space
Engg.","--","--","--","51660","--","61080","45618","--","--","39896","--","--","47304","--","--","26937","--","28234","54002","--","--","43649","--","--"
"E237","BD CS- Big Data","61464","--","--","73141","--","--","62929","--","--","49531","--","--","51814","--","--","49287","--","89156","134575","--","--","104225","--","--"
"E237","CA CS (AI, Machine
Learning)","60560","--","80349","58314","--","--","42028","--","80028","37164","--","53006","51370","--","--","34258","91797","52000","91320","116958","--","95028","--","--"
"E237","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","182622","--","--","--","--","--","--","--","--"
"E237","CG Computer
Science and Tech","63166","--","--","67862","--","89892","60196","--","--","55654","--","--","60020","--","90498","52185","119624","88367","120346","--","--","75353","--","--"
"E237","CO Computer
Engineering","126329","--","158429","110696","--","141414","92174","--","119540","69792","--","111825","69999","--","110598","67192","--","108097","156151","--","--","87725","--","--"
