College_code,Dept,1G,2AG,2AR,2BG,3AG,3AR,3BG,GM,GMK,GMR,SCG,SCR,STG,STR,1R,2AK,2BR,3BR,SCK,3BK,2BK,STK,1K,3AK
E006,AD,10000.36,6285.5,,8010.98,4984.81,,5847.55,4711.13,12384.56,7201.59,24717.15,,14926.71,,,,,,,,,,,
E006,AI,,6967.26,16938.48,11426.34,4717.05,,4964.34,4266.45,6775.3,8006.84,21562.44,45177.46,25722.3,,,,,,,,,,,
E006,BT,30903.04,40452.6,,52212.5,28000.02,,32312.84,23201.81,34025.46,50220.23,68000.6,,,,93421.24,,,,,,,,,
E006,CA,5426.03,5462.34,8245.48,4194.48,3918.59,,3684.02,3209.68,,4589.96,21924.07,45685.16,23533.9,,,21955.13,,,,,,,,
E006,CV,94919.2,82425.47,,94640.26,64754.45,,83683.73,52091.44,79700.58,66739.57,102275.39,145507.84,58556.76,,,,,,,,,,,
E006,CH,72802.88,83721.59,,89666.83,56281.34,,72915.1,56612.2,,92173.94,136458.32,,98626.91,,,,,,,,,,,
E006,CS,3415.79,3296.98,3836.03,3820.68,2734.81,,2243.81,1778.19,3220.51,3160.49,11595.13,17277.52,12074.55,,,8002.06,,4118.71,16224.86,,,,,
E006,CY,6766.4,6080.16,,5492.93,5380.94,,5950.14,4517.25,,6471.25,25932.27,34713.62,,42055.74,,,,,,,,,,
E006,EC,9455.43,10130.64,13866.98,11606.8,6443.05,9998.3,6926.98,5755.56,7186.72,8022.34,26144.95,31888.64,17953.05,,,18449.7,,10412.2,,,,,,
E006,EE,28176.28,26443.89,36130.73,,18349.84,,19186.15,14679.99,35787.84,25800.89,53264.92,88343.8,46248.98,,,,,,,,,,,
E006,EI,,28702.55,39214.29,46157.19,,,21898.92,17289.09,63597.14,26655.52,76086.84,123911.34,140185.92,,,,,,,,,,,
E006,ET,22054.88,20618.47,51963.32,45671.78,16170.2,,14368.21,12104.81,42766.32,23627.25,62073.21,,,,,,,,,,,,,
E006,IS,4936.97,4452.8,5690.17,6320.4,3200.31,,3252.03,2725.87,5168.04,3489.07,18538.57,30699.86,15474.78,,,7618.28,,4973.72,,,,,,
E006,IM,87152.3,105498.11,,111453.9,79564.58,,86949.04,67754.59,,99302.98,114165.32,,,,,,,,,,,,,
E006,MD,65940.8,77181.63,,92191.8,47675.32,,81813.8,42388.73,94976.84,125064.18,150981,,,,,,,,,,,,,
E006,ME,56006.42,68897.32,117671.75,94257.16,45748.81,,54524.54,38890.38,66871.65,74925.05,118387.38,,113866.04,,,,,84237.71,,,,,,
E007,AE,38179.75,32597.3,,34721.83,34249.19,,33296.83,25286.82,68455.43,43027.59,52826.76,,63579.82,,,,,,,,,,,
E007,AI,9253.83,10187.51,,10653.41,6766.42,,7771.38,6377.39,,9356.15,29018.58,,29804.54,,,,,,,,,,,
E007,AU,,133965.12,,,123339.9,,,134813.11,,134508.7,163482.08,,,,,,,,,,,,,
E007,BT,85652.63,75607.22,,78152.5,39337.62,,78764.6,50393.87,171938.08,84561.29,90858.07,,120481.56,,,,,,,,,,,
E007,CD,12677.3,15848.11,28253.52,16773.79,16602.89,,10746,11551.69,,19944.2,50437.45,43481.44,53506.52,,,,,,,,,,,
E007,CV,191810.98,185634.66,,144105.88,141756.26,,146249.64,135844.95,,165010.48,169735.4,,188131.22,,,,,,,,,,,
E007,CH,84034.24,164386.72,,107694.6,,,107795.12,108052.51,,126582.86,170984.2,,,,,,,,,,,,,
E007,CS,7216.84,7243.82,9263.36,8341.25,5412.03,7155.1,6316.24,4547.83,8295.87,6873.04,22163.51,31980.94,15225.15,,13688.08,10478.17,,7668.21,30135.33,,,,,
E007,EC,18318.84,17107.11,21110.65,23000.39,12790.46,17426.04,13468.32,11322.19,21714.72,15741.27,48904.59,71512.45,43153.3,,25066.14,32927.33,,18908.77,89857.2,,,,,
E007,EE,83767.84,50612.16,73970.2,55779.32,36311.78,,39085.38,32431.08,46894.47,40773.56,98318.28,122649.98,67446.96,,,,101863.18,,,,,,,
E007,EI,83605.88,59331.06,79373.41,66012.38,72912.02,,46824.43,37304.06,79364.36,72100.9,130426.89,,,,,,,,,,,,,
E007,ET,47255.67,43209.42,72372.4,76673.77,32249.11,,39229.59,29490.07,55073.24,39238,105223.77,154819.92,165660.64,,,,,48763.36,,,,,,
E007,IS,11267.56,10395.01,12308.89,10267.66,7628.08,,8699.05,6784.92,11571.74,8901.89,30676.04,42497.55,27299.72,,,14236.38,21002.28,9694.28,37625.44,,,,,
E007,MD,111655.74,108578.06,,81354.78,85114.34,,148336.7,105723.71,,137222.78,192200.84,,,,,,,,,,,,,
E007,ME,,126190.96,,,,,,105463.17,102900.5,124640,162940.74,,143269.86,,,,,,,,,,,
E007,CB,11878.34,14709.68,30124.92,17438.14,12013.86,,,10657.6,,21394.18,48772.82,,48282.26,,,,,,,,,,,
E007,CY,,10480.06,,12310.16,9645.98,,10427.22,8581.36,,11339.76,30074.58,,,,,,,,,,,,,
E007,DS,10158.82,11371.24,15025.88,10685.86,8513,,9362.3,7366.76,,12061.92,37522.78,53826.5,,,,,,,,,,,,
E008,AI,18779.64,11404.67,15973.08,15402.78,10729.82,,10626.5,9745.74,20381.78,12647.18,38894.37,50643.46,,,,,,,,,,,,
E008,CV,,,,,,,,192541.14,,,,,,,,,,,,,,,,
E008,CS,8542.9,10820.59,11432.35,10245.36,7232.93,,7311.77,6533.19,8458.8,8876.23,28745.48,34667.21,25134.01,,12208.77,15205.8,27081.34,9618.71,32375.22,,,,,
E008,EC,22196.8,21562.62,28433.65,24951.34,17070.05,,19084.39,15724.33,25157.57,21074.15,54979.96,80618.25,51394.45,60216.56,,29834.83,,24755.66,87327.8,,,,,
E008,EE,76013.68,55508.71,63647.91,69012.96,41582.58,,57641.18,40837.66,,45854.77,106123.69,,,,,,,,,,,,,
E008,EI,,57204.4,,82792.06,134081,,78233.05,71242.49,,62261.1,139711.69,,161876.56,,,,,,,,,,,
E008,ET,59456.67,42932.35,56643.92,61601.05,36177.39,,39841.91,31792.54,97066.44,46191.27,121212.39,,,,,,,,,,,,,
E008,IS,11934.56,12726.74,13573.62,11171.64,9306.19,,9962.67,9078.4,12449.7,11816.08,41788.6,58198.17,32254.34,60862.36,,,40714.58,,,,,,,
E008,ME,,,,,,,,137715.1,,,,,,,,,,,,,,,,
E008,DS,12651.4,15254,,12650.92,10875.6,,,10209.82,,,35650.28,,,,,,,,,,,,,
E008,EV,,64134.46,,68483.22,47068.42,,,41073.68,,65796.78,136587.06,,,,,,,,,,,,,
E008,RI,29849.54,35475.58,,44613.44,23014.28,,26687.8,22441.82,43970.1,37070.12,80720.7,,156852.52,,47842.96,,,,,,,,,
E009,BT,97325.97,69611,,63343.67,38517.57,,53863.63,24373.7,,57685.89,83266.85,,,,,,,,,,,,,
E009,CS,4177.8,4188.12,6537.44,5827.36,2432.85,3848.02,2646.26,1565.65,4880.77,3248.79,16804.27,33292.04,14788.54,24350.85,6302.64,8364.99,9493.47,4276.31,29099.52,6838.33,,,9737.42,
